,full_name,team,position,height,weight,age,region,average_points,average_assists,average_rebounds,average_steals,average_blocks,awards
260,Mason Jones,Kings,Guard,193.04,200,26,USA,2.3,1.1,0.9,0.0,0.1,
261,Spencer Jones,Nuggets,Forward,200.66,225,23,USA,1.3,0.25,0.85,0.25,0.25,
262,Tre Jones,Bulls,Guard,185.42,185,25,USA,4.392857142857143,3.7142857142857144,2.0714285714285716,0.6428571428571429,0.17857142857142858,
263,Tyus Jones,Suns,Guard,185.42,196,28,USA,10.381578947368421,5.473684210526316,2.4078947368421053,0.8421052631578947,0.09210526315789473,
264,Derrick Jones Jr.,Clippers,Forward,198.12,210,28,USA,10.194444444444445,0.7777777777777778,3.4444444444444446,1.0416666666666667,0.4444444444444444,
265,DeAndre Jordan,Nuggets,Center,210.82,265,36,USA,3.7884615384615383,0.9807692307692307,5.134615384615385,0.28846153846153844,0.4423076923076923,All-Defensive Team; All-Defensive Team; All-NBA; All-NBA; All-NBA; NBA All-Star; NBA Champion; Olympic Gold Medal
266,Cory Joseph,Magic,Guard,187.96,200,33,Canada,3.4893617021276597,1.3404255319148937,1.425531914893617,0.48936170212765956,0.0851063829787234,NBA Champion
267,Nikola Jović,Heat,Forward,208.28,205,21,Serbia,10.73913043478261,2.847826086956522,3.9130434782608696,0.8260869565217391,0.2826086956521739,Olympic Bronze Medal
268,Johnny Juzang,Jazz,Guard,195.57999999999998,226,24,USA,8.516666666666667,1.0166666666666666,2.816666666666667,0.5166666666666667,0.11666666666666667,
269,Yuki Kawamura,Grizzlies,Guard,172.72,159,23,Japan,1.2,0.7,0.35,0.05,0.0,
270,Kylor Kelley,Pelicans,Center,213.36,230,27,USA,3.0,0.25,2.625,0.0,0.25,
271,Luke Kennard,Grizzlies,Guard,195.57999999999998,206,28,USA,9.03225806451613,3.3548387096774195,2.7096774193548385,0.7903225806451613,0.08064516129032258,
272,Walker Kessler,Jazz,Center,213.36,245,23,USA,11.051724137931034,1.6724137931034482,12.189655172413794,0.6206896551724138,2.3793103448275863,All-Rookie Team; NBA Rookie of the Month
273,Braxton Key,Warriors,Forward,203.2,225,28,USA,0.0,0.0,0.0,0.0,0.0,
274,Corey Kispert,Wizards,Forward,198.12,224,26,USA,11.557377049180328,1.6885245901639345,2.9672131147540983,0.4262295081967213,0.22950819672131148,
275,Maxi Kleber,Lakers,Forward,208.28,240,33,Germany,3.0294117647058822,1.2647058823529411,2.7941176470588234,0.2647058823529412,0.5,
276,Bobi Klintman,Pistons,Forward,205.74,225,22,Sweden,0.0,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,
277,Dalton Knecht,Lakers,Forward,198.12,215,23,USA,9.123287671232877,0.9041095890410958,2.7945205479452055,0.3287671232876712,0.0821917808219178,
278,Kevin Knox II,Warriors,Forward,203.2,215,25,USA,3.090909090909091,0.36363636363636365,1.2727272727272727,0.18181818181818182,0.36363636363636365,NBA Rookie of the Month
279,Tyler Kolek,Knicks,Guard,190.5,195,24,USA,1.9,1.65,0.6,0.3,0.1,
280,Christian Koloko,Lakers,Center,213.36,225,24,Cameroon,2.4705882352941178,0.47058823529411764,2.411764705882353,0.20588235294117646,0.3235294117647059,
281,John Konchar,Grizzlies,Guard,195.57999999999998,210,29,USA,2.4285714285714284,0.9047619047619048,3.2857142857142856,0.5,0.3333333333333333,
282,Luke Kornet,Celtics,Center-Forward,215.9,250,29,USA,5.779411764705882,1.588235294117647,5.235294117647059,0.4852941176470588,0.9558823529411765,NBA Champion
283,Vít Krejčí,Hawks,Guard,203.2,195,24,Czech Republic,7.076923076923077,2.5384615384615383,2.673076923076923,0.5961538461538461,0.5,
284,Jonathan Kuminga,Warriors,Forward,200.66,225,22,DRC,15.767441860465116,2.255813953488372,4.627906976744186,0.8372093023255814,0.46511627906976744,NBA Champion
285,Kyle Kuzma,Bucks,Forward,205.74,221,29,USA,15.1875,2.46875,5.78125,0.625,0.21875,All-Rookie Team; NBA Champion; NBA Rookie of the Month
286,Jake LaRavia,Kings,Forward,200.66,235,23,USA,7.297872340425532,2.8297872340425534,4.361702127659575,0.9361702127659575,0.425531914893617,
287,Zach LaVine,Kings,Guard,195.57999999999998,200,30,USA,23.976190476190474,4.5,4.809523809523809,0.9285714285714286,0.23809523809523808,All-Rookie Team; NBA All-Star; NBA All-Star; NBA Player of the Week; Olympic Gold Medal
288,Skal Labissiere,,Forward-Center,208.28,235,29,Haiti,1.25,0.25,0.75,0.0,0.0,
289,Jock Landale,Rockets,Center,210.82,255,29,Australia,4.358974358974359,0.8205128205128205,3.076923076923077,0.2564102564102564,0.2564102564102564,
290,Pelle Larsson,Heat,Guard,195.57999999999998,215,24,Sweden,4.452830188679245,1.1320754716981132,1.6037735849056605,0.5471698113207547,0.1320754716981132,
291,A.J. Lawson,Raptors,Guard,198.12,179,24,Canada,8.318181818181818,1.0,3.1363636363636362,0.4090909090909091,0.2727272727272727,
292,Caris LeVert,Hawks,Guard,198.12,205,30,USA,10.210526315789474,3.6842105263157894,2.8157894736842106,0.868421052631579,0.5,
293,Damion Lee,Suns,Guard-Forward,198.12,210,32,USA,3.2857142857142856,0.47619047619047616,0.7142857142857143,0.23809523809523808,0.0,NBA Champion
294,Alex Len,Lakers,Center,213.36,250,31,Ukraine,1.5555555555555556,0.8222222222222222,2.066666666666667,0.2,0.4444444444444444,
295,Kawhi Leonard,Clippers,Forward,200.66,225,33,USA,20.727272727272727,3.0,5.757575757575758,1.4848484848484849,0.48484848484848486,All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-Rookie Team; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star Most Valuable Player; NBA Champion; NBA Champion; NBA Defensive Player of the Year; NBA Defensive Player of the Year; NBA Finals Most Valuable Player; NBA Finals Most Valuable Player; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week
296,Malevy Leons,,Forward,205.74,210,25,Netherlands,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,
297,Maxwell Lewis,Nets,Forward,200.66,215,22,USA,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,
298,E.J. Liddell,Bulls,Forward,198.12,240,24,USA,1.875,0.375,0.625,0.125,0.125,
299,Damian Lillard,Bucks,Guard,187.96,195,34,USA,24.948275862068964,7.068965517241379,4.689655172413793,1.206896551724138,0.1724137931034483,All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-Rookie Team; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star Most Valuable Player; NBA Player of the Month; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Year; Olympic Gold Medal
300,Dereck Lively II,Mavericks,Center,215.9,230,21,USA,8.969696969696969,2.5757575757575757,7.757575757575758,0.5151515151515151,1.6666666666666667,All-Rookie Team
301,Chris Livingston,Bucks,Forward,198.12,220,21,USA,1.1578947368421053,0.10526315789473684,1.368421052631579,0.2631578947368421,0.0,
302,Kevon Looney,Warriors,Forward,205.74,222,29,USA,4.619718309859155,1.5492957746478873,6.154929577464789,0.6056338028169014,0.4647887323943662,NBA Champion; NBA Champion
303,Brook Lopez,Bucks,Center,215.9,282,37,USA,13.013333333333334,1.8266666666666667,4.986666666666666,0.6666666666666666,1.8533333333333333,All-Defensive Team; All-Defensive Team; All-Rookie Team; NBA All-Star; NBA Champion; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Rookie of the Month; NBA Rookie of the Month
304,Kevin Love,Heat,Forward-Center,203.2,251,36,USA,5.304347826086956,0.9565217391304348,4.086956521739131,0.6521739130434783,0.17391304347826086,All-NBA; All-NBA; All-Rookie Team; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA Champion; NBA Most Improved Player; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Rookie of the Month; Olympic Gold Medal
305,Kyle Lowry,76ers,Guard,182.88,196,39,USA,3.911764705882353,2.7941176470588234,1.9411764705882353,0.9705882352941176,0.3235294117647059,All-NBA; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA Champion; NBA Player of the Month; NBA Player of the Month; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; Olympic Gold Medal
306,Seth Lundy,Clippers,Guard-Forward,193.04,220,25,USA,1.5555555555555556,0.0,0.7777777777777778,0.0,0.0,
307,Trey Lyles,Kings,Forward,205.74,234,29,Canada,6.25,1.171875,4.4375,0.59375,0.34375,
308,Sandro Mamukelashvili,Spurs,Forward-Center,205.74,240,25,Georgia,5.982142857142857,0.6964285714285714,2.9285714285714284,0.35714285714285715,0.2857142857142857,
309,Terance Mann,Hawks,Guard-Forward,195.57999999999998,215,28,USA,6.027027027027027,1.5945945945945945,2.891891891891892,0.7567567567567568,0.2972972972972973,
310,Tre Mann,Hornets,Guard,190.5,178,24,USA,14.076923076923077,3.0,2.923076923076923,0.5384615384615384,0.3076923076923077,
311,Lauri Markkanen,Jazz,Forward-Center,213.36,240,27,Finland,18.97872340425532,1.4893617021276595,5.914893617021277,0.7021276595744681,0.3617021276595745,All-Rookie Team; NBA All-Star; NBA Most Improved Player; NBA Player of the Week
312,Naji Marshall,Mavericks,Forward,198.12,220,27,USA,13.292307692307693,2.953846153846154,4.876923076923077,1.0461538461538462,0.15384615384615385,
313,Caleb Martin,Mavericks,Forward,195.57999999999998,205,29,USA,9.064516129032258,2.225806451612903,4.387096774193548,1.096774193548387,0.6451612903225806,
314,Cody Martin,Suns,Forward,198.12,205,29,USA,7.846153846153846,2.282051282051282,4.512820512820513,1.1025641025641026,0.6666666666666666,
315,Jaylen Martin,Wizards,Guard,198.12,216,21,USA,1.0,0.0,0.0,0.0,0.0,
316,KJ Martin,Jazz,Forward,198.12,215,24,USA,6.416666666666667,0.7916666666666666,3.0,0.4583333333333333,0.6666666666666666,
317,Tyrese Martin,Nets,Forward,198.12,215,26,USA,8.666666666666666,2.0,3.6842105263157894,0.5614035087719298,0.14035087719298245,
318,Garrison Mathews,Hawks,Guard,198.12,215,28,USA,7.413043478260869,1.2826086956521738,1.8043478260869565,0.5652173913043478,0.30434782608695654,
319,Bennedict Mathurin,Pacers,Guard-Forward,195.57999999999998,210,22,Canada,16.205882352941178,1.8529411764705883,5.338235294117647,0.6323529411764706,0.35294117647058826,All-Rookie Team; NBA Rookie of the Month
320,Karlo Matković,Pelicans,Forward-Center,208.28,231,24,Bosnia and Herzegovina,7.230769230769231,1.1282051282051282,4.871794871794871,0.5128205128205128,0.9487179487179487,
321,Tyrese Maxey,76ers,Guard,187.96,200,24,USA,26.326923076923077,6.096153846153846,3.3461538461538463,1.75,0.40384615384615385,NBA All-Star; NBA Most Improved Player; NBA Player of the Week; NBA Player of the Week
322,Miles McBride,Knicks,Guard,185.42,195,24,USA,9.440677966101696,2.864406779661017,2.5254237288135593,0.9491525423728814,0.288135593220339,
323,Jared McCain,76ers,Guard,190.5,195,21,USA,15.304347826086957,2.608695652173913,2.4347826086956523,0.6521739130434783,0.0,NBA Rookie of the Month
324,Mac McClung,Magic,Guard,187.96,185,26,USA,0.0,1.5,0.5,0.0,0.0,
325,CJ McCollum,Pelicans,Guard,190.5,190,33,USA,21.125,4.053571428571429,3.7857142857142856,0.8214285714285714,0.42857142857142855,NBA Most Improved Player; NBA Player of the Week
326,T.J. McConnell,Pacers,Guard,185.42,190,33,USA,9.18918918918919,4.54054054054054,2.4864864864864864,1.0810810810810811,0.25675675675675674,
327,Kevin McCullar Jr.,Knicks,Guard,198.12,210,24,USA,0.6666666666666666,0.0,0.0,0.0,0.0,
328,Jaden McDaniels,Timberwolves,Forward,205.74,185,24,USA,12.415584415584416,2.0259740259740258,5.87012987012987,1.3766233766233766,0.8961038961038961,All-Defensive Team
329,Jalen McDaniels,,Forward,205.74,190,27,USA,0.0,0.25,0.0,0.25,0.0,
330,Doug McDermott,Kings,Forward,198.12,225,33,USA,3.3846153846153846,0.10256410256410256,0.48717948717948717,0.10256410256410256,0.05128205128205128,
331,Bryce McGowens,Trail Blazers,Guard,198.12,190,22,USA,1.0,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.0,
332,Jordan McLaughlin,Spurs,Guard,182.88,185,28,USA,1.8928571428571428,0.8571428571428571,0.75,0.39285714285714285,0.0,
333,Jack McVeigh,Rockets,Guard-Forward,203.2,215,28,Australia,2.0,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,
334,De'Anthony Melton,Nets,Guard,190.5,200,26,USA,10.333333333333334,2.8333333333333335,3.3333333333333335,1.1666666666666667,0.3333333333333333,
335,Sam Merrill,Cavaliers,Guard,193.04,205,28,USA,7.132352941176471,1.4852941176470589,2.2058823529411766,0.7205882352941176,0.17647058823529413,NBA Champion
336,Vasilije Micić,Suns,Guard,190.5,188,31,Serbia,7.472222222222222,3.5277777777777777,2.4166666666666665,0.4166666666666667,0.0,Olympic Bronze Medal
337,Khris Middleton,Wizards,Forward,200.66,222,33,USA,12.608695652173912,4.434782608695652,3.6956521739130435,0.7391304347826086,0.21739130434782608,NBA All-Star; NBA All-Star; NBA All-Star; NBA Champion; NBA Player of the Week; Olympic Gold Medal
338,Brandon Miller,Hornets,Forward,200.66,200,22,USA,21.037037037037038,3.6296296296296298,4.851851851851852,1.0740740740740742,0.7407407407407407,All-Rookie Team; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Month
339,Emanuel Miller,Bulls,Forward,200.66,215,24,Canada,0.0,0.5,0.5,0.0,0.0,
340,Jordan Miller,Clippers,Guard,195.57999999999998,194,25,USA,4.352941176470588,1.0,1.7058823529411764,0.5,0.14705882352941177,
341,Leonard Miller,Timberwolves,Forward,208.28,220,21,Canada,1.5,0.0,0.9166666666666666,0.16666666666666666,0.08333333333333333,
342,Patty Mills,Clippers,Guard,187.96,180,36,Australia,3.7857142857142856,0.8928571428571429,0.75,0.4642857142857143,0.10714285714285714,Olympic Appearance; Olympic Appearance; NBA Champion
343,Shake Milton,Lakers,Guard,195.57999999999998,205,28,USA,7.37037037037037,2.3703703703703702,1.8888888888888888,0.5555555555555556,0.037037037037037035,
344,Justin Minaya,Trail Blazers,Forward,195.57999999999998,205,26,USA,0.26666666666666666,0.2,0.4,0.13333333333333333,0.0,
345,Riley Minix,Spurs,Forward,200.66,230,24,USA,0.0,0.0,2.0,0.0,0.0,
346,Josh Minott,Timberwolves,Forward,203.2,205,22,USA,2.5454545454545454,0.4090909090909091,1.0454545454545454,0.3409090909090909,0.2727272727272727,
347,Yves Missi,Pelicans,Center,210.82,235,20,Cameroon,8.985915492957746,1.352112676056338,8.225352112676056,0.5070422535211268,1.3661971830985915,NBA Rookie of the Month
348,Ajay Mitchell,Thunder,Guard,195.57999999999998,190,22,Belgium,6.411764705882353,1.6764705882352942,1.9705882352941178,0.7058823529411765,0.08823529411764706,
349,Davion Mitchell,Heat,Guard,182.88,202,26,USA,6.340909090909091,4.613636363636363,1.9318181818181819,0.7045454545454546,0.18181818181818182,
